ID,Название задачи,Статус,ID проекта
1430,Task 1430,В процессе,5215
1431,Task 1431,Не начата,6036
1432,Task 1432,Не начата,2908
1433,Task 1433,В процессе,7999
1434,Task 1434,В процессе,2030
1435,Task 1435,В процессе,1981
1436,Task 1436,В процессе,6935
1437,Task 1437,В процессе,8509
1438,Task 1438,В процессе,5736
1439,Task 1439,В процессе,3687
1440,Task 1440,Не начата,210
1441,Task 1441,Не начата,4166
1442,Task 1442,Завершена,7618
1443,Task 1443,Завершена,4694
1444,Task 1444,В процессе,8733
1445,Task 1445,Завершена,7204
1446,Task 1446,В процессе,1284
1447,Task 1447,В процессе,9514
1448,Task 1448,В процессе,8650
1449,Task 1449,В процессе,7306
1450,Task 1450,Не начата,2801
1451,Task 1451,Не начата,8779
1452,Task 1452,В процессе,1853
1453,Task 1453,Завершена,5676
1454,Task 1454,В процессе,2792
1455,Task 1455,Завершена,6302
1456,Task 1456,Не начата,9612
1457,Task 1457,Не начата,7703
1458,Task 1458,Завершена,3248
1459,Task 1459,Завершена,5773
1460,Task 1460,Не начата,8257
1461,Task 1461,Не начата,1511
1462,Task 1462,Не начата,2284
1463,Task 1463,Не начата,1435
1464,Task 1464,Завершена,8737
1465,Task 1465,Не начата,4978
1466,Task 1466,В процессе,6616
1467,Task 1467,В процессе,5751
1468,Task 1468,Завершена,9962
1469,Task 1469,Завершена,6771
1470,Task 1470,В процессе,2652
1471,Task 1471,В процессе,7954
1472,Task 1472,В процессе,4975
1473,Task 1473,В процессе,2903
1474,Task 1474,В процессе,3935
1475,Task 1475,В процессе,2908
1476,Task 1476,Не начата,3930
1477,Task 1477,Не начата,8021
1478,Task 1478,Завершена,4651
1479,Task 1479,Не начата,1488
1480,Task 1480,Завершена,5839
1481,Task 1481,Завершена,8370
1482,Task 1482,Завершена,7106
1483,Task 1483,Не начата,8436
1484,Task 1484,Не начата,6053
1485,Task 1485,В процессе,2832
1486,Task 1486,Завершена,619
1487,Task 1487,В процессе,5143
1488,Task 1488,Завершена,6489
1489,Task 1489,В процессе,6438
1490,Task 1490,В процессе,9940
1491,Task 1491,Не начата,3389
1492,Task 1492,Завершена,553
1493,Task 1493,В процессе,3940
1494,Task 1494,Не начата,6295
1495,Task 1495,Завершена,7092
1496,Task 1496,В процессе,5013
1497,Task 1497,Не начата,7430
1498,Task 1498,В процессе,2027
1499,Task 1499,Завершена,7757
1500,Task 1500,Завершена,2872
1501,Task 1501,В процессе,4198
1502,Task 1502,В процессе,7540
1503,Task 1503,Завершена,4809
1504,Task 1504,В процессе,4462
1505,Task 1505,В процессе,9546
1506,Task 1506,Не начата,5544
1507,Task 1507,Завершена,3695
1508,Task 1508,Завершена,4630
1509,Task 1509,В процессе,5905
1510,Task 1510,Завершена,1305
1511,Task 1511,Завершена,8743
1512,Task 1512,Завершена,6294
1513,Task 1513,Не начата,2258
1514,Task 1514,Не начата,682
1515,Task 1515,Не начата,9547
1516,Task 1516,В процессе,3704
1517,Task 1517,Завершена,8659
1518,Task 1518,Не начата,8696
1519,Task 1519,Не начата,5639
1520,Task 1520,Завершена,3096
1521,Task 1521,Не начата,9336
1522,Task 1522,Завершена,3124
1523,Task 1523,Не начата,7925
1524,Task 1524,В процессе,4110
1525,Task 1525,В процессе,7688
1526,Task 1526,Не начата,3591
1527,Task 1527,В процессе,8273
1528,Task 1528,В процессе,5906
1529,Task 1529,Завершена,3704
1530,Task 1530,Не начата,4450
1531,Task 1531,Не начата,4635
1532,Task 1532,Завершена,5026
1533,Task 1533,В процессе,6563
1534,Task 1534,Завершена,2618
1535,Task 1535,Завершена,543
1536,Task 1536,Не начата,384
1537,Task 1537,Завершена,8723
1538,Task 1538,В процессе,8312
1539,Task 1539,Завершена,1518
1540,Task 1540,В процессе,6700
1541,Task 1541,В процессе,1729
1542,Task 1542,В процессе,4185
1543,Task 1543,В процессе,1389
1544,Task 1544,Завершена,8378
1545,Task 1545,Не начата,1661
1546,Task 1546,В процессе,249
1547,Task 1547,В процессе,4603
1548,Task 1548,Завершена,1556
1549,Task 1549,В процессе,2894
1550,Task 1550,В процессе,5739
1551,Task 1551,В процессе,1574
1552,Task 1552,Завершена,2821
1553,Task 1553,Не начата,1564
1554,Task 1554,Завершена,4994
1555,Task 1555,Завершена,2672
1556,Task 1556,В процессе,1593
1557,Task 1557,Завершена,3328
1558,Task 1558,Завершена,6849
1559,Task 1559,В процессе,8978
1560,Task 1560,Не начата,11
1561,Task 1561,Не начата,3196
1562,Task 1562,Не начата,2706
1563,Task 1563,Завершена,7301
1564,Task 1564,Не начата,1671
1565,Task 1565,Завершена,8903
1566,Task 1566,В процессе,9312
1567,Task 1567,Не начата,6980
1568,Task 1568,Не начата,3311
1569,Task 1569,Завершена,4408
1570,Task 1570,В процессе,1947
1571,Task 1571,Завершена,4369
1572,Task 1572,Не начата,6023
1573,Task 1573,Не начата,2420
1574,Task 1574,В процессе,5129
1575,Task 1575,В процессе,1859
1576,Task 1576,Завершена,2367
1577,Task 1577,В процессе,3560
1578,Task 1578,Не начата,9366
1579,Task 1579,Не начата,6027
1580,Task 1580,Завершена,9637
1581,Task 1581,Завершена,2544
1582,Task 1582,Завершена,4237
1583,Task 1583,В процессе,207
1584,Task 1584,Завершена,8512
1585,Task 1585,Не начата,4557
1586,Task 1586,Не начата,2185
1587,Task 1587,Не начата,9378
1588,Task 1588,Не начата,2549
1589,Task 1589,В процессе,9803
1590,Task 1590,В процессе,7863
1591,Task 1591,Завершена,3591
1592,Task 1592,В процессе,9392
1593,Task 1593,Не начата,1492
1594,Task 1594,Не начата,2311
1595,Task 1595,Не начата,1971
1596,Task 1596,Завершена,1762
1597,Task 1597,Не начата,7045
1598,Task 1598,В процессе,1500
1599,Task 1599,Не начата,1432
1600,Task 1600,В процессе,3336
1601,Task 1601,Не начата,1845
1602,Task 1602,Завершена,9539
1603,Task 1603,Завершена,74
1604,Task 1604,В процессе,5775
1605,Task 1605,Не начата,6632
1606,Task 1606,Не начата,7186
1607,Task 1607,Не начата,2031
1608,Task 1608,Не начата,5191
1609,Task 1609,В процессе,2344
1610,Task 1610,Завершена,4015
1611,Task 1611,Завершена,8212
1612,Task 1612,В процессе,8860
1613,Task 1613,В процессе,2121
1614,Task 1614,Завершена,7447
1615,Task 1615,Не начата,6606
1616,Task 1616,Не начата,1188
1617,Task 1617,Завершена,7953
1618,Task 1618,Не начата,7704
1619,Task 1619,Завершена,5880
1620,Task 1620,Завершена,3185
1621,Task 1621,В процессе,1573
1622,Task 1622,Завершена,54
1623,Task 1623,Не начата,640
1624,Task 1624,В процессе,9381
1625,Task 1625,Не начата,4812
1626,Task 1626,В процессе,9513
1627,Task 1627,В процессе,4855
1628,Task 1628,В процессе,4282
1629,Task 1629,В процессе,5588
1630,Task 1630,Не начата,1183
1631,Task 1631,Завершена,3938
1632,Task 1632,Завершена,2067
1633,Task 1633,Завершена,8509
1634,Task 1634,В процессе,2731
1635,Task 1635,Не начата,7209
1636,Task 1636,Завершена,9284
1637,Task 1637,В процессе,9766
1638,Task 1638,Завершена,9485
1639,Task 1639,Не начата,154
1640,Task 1640,Завершена,7830
1641,Task 1641,Завершена,4633
1642,Task 1642,В процессе,4053
1643,Task 1643,В процессе,7560
1644,Task 1644,Не начата,7347
1645,Task 1645,Завершена,2164
1646,Task 1646,Завершена,7667
1647,Task 1647,Не начата,4744
1648,Task 1648,В процессе,846
1649,Task 1649,В процессе,4230
1650,Task 1650,Завершена,5589
1651,Task 1651,Не начата,5951
1652,Task 1652,В процессе,950
1653,Task 1653,Не начата,4784
1654,Task 1654,В процессе,4559
1655,Task 1655,В процессе,5409
1656,Task 1656,Не начата,2850
1657,Task 1657,Не начата,8312
1658,Task 1658,В процессе,2930
1659,Task 1659,Не начата,1766
1660,Task 1660,В процессе,8722
1661,Task 1661,Не начата,7246
1662,Task 1662,Завершена,849
1663,Task 1663,Завершена,7751
1664,Task 1664,Завершена,9101
1665,Task 1665,Завершена,8594
1666,Task 1666,Завершена,604
1667,Task 1667,В процессе,3046
1668,Task 1668,В процессе,4161
1669,Task 1669,Завершена,8018
1670,Task 1670,Завершена,256
1671,Task 1671,В процессе,9659
1672,Task 1672,Завершена,1429
1673,Task 1673,Не начата,770
1674,Task 1674,Завершена,5766
1675,Task 1675,В процессе,2636
1676,Task 1676,Завершена,2799
1677,Task 1677,Не начата,8119
1678,Task 1678,Завершена,5053
1679,Task 1679,Не начата,9893
1680,Task 1680,Не начата,7889
1681,Task 1681,В процессе,3101
1682,Task 1682,Не начата,5692
1683,Task 1683,В процессе,4410
1684,Task 1684,В процессе,6416
1685,Task 1685,В процессе,2317
1686,Task 1686,Завершена,5659
1687,Task 1687,В процессе,8673
1688,Task 1688,В процессе,1422
1689,Task 1689,В процессе,4346
1690,Task 1690,В процессе,7241
1691,Task 1691,Не начата,5209
1692,Task 1692,В процессе,8063
1693,Task 1693,Завершена,1265
1694,Task 1694,В процессе,2091
1695,Task 1695,Завершена,7176
1696,Task 1696,Завершена,9441
1697,Task 1697,Завершена,4082
1698,Task 1698,Не начата,1996
1699,Task 1699,В процессе,4927
1700,Task 1700,Завершена,3320
1701,Task 1701,Не начата,3425
1702,Task 1702,В процессе,5122
1703,Task 1703,Не начата,2053
1704,Task 1704,Завершена,541
1705,Task 1705,В процессе,3422
1706,Task 1706,В процессе,257
1707,Task 1707,В процессе,827
1708,Task 1708,Завершена,3852
1709,Task 1709,Завершена,4319
1710,Task 1710,Не начата,2205
1711,Task 1711,В процессе,2361
1712,Task 1712,В процессе,8757
1713,Task 1713,Завершена,1276
1714,Task 1714,Завершена,8612
1715,Task 1715,Не начата,7311
1716,Task 1716,В процессе,391
1717,Task 1717,В процессе,7468
1718,Task 1718,Завершена,8391
1719,Task 1719,Завершена,4084
1720,Task 1720,Завершена,6159
1721,Task 1721,Завершена,6195
1722,Task 1722,Завершена,6242
1723,Task 1723,Завершена,8231
1724,Task 1724,В процессе,9346
1725,Task 1725,Не начата,1611
1726,Task 1726,Не начата,4958
1727,Task 1727,Завершена,1086
1728,Task 1728,В процессе,8648
1729,Task 1729,В процессе,7497
1730,Task 1730,Завершена,9110
1731,Task 1731,Завершена,121
1732,Task 1732,Не начата,780
1733,Task 1733,В процессе,4907
1734,Task 1734,Не начата,6388
1735,Task 1735,Завершена,7582
1736,Task 1736,Завершена,5600
1737,Task 1737,Не начата,7651
1738,Task 1738,В процессе,4746
1739,Task 1739,Завершена,8770
1740,Task 1740,Завершена,2632
1741,Task 1741,Завершена,4812
1742,Task 1742,В процессе,9311
1743,Task 1743,В процессе,3957
1744,Task 1744,Не начата,4567
1745,Task 1745,Не начата,1795
1746,Task 1746,В процессе,1626
1747,Task 1747,В процессе,9470
1748,Task 1748,Завершена,9436
1749,Task 1749,Завершена,815
1750,Task 1750,Завершена,5085
1751,Task 1751,Завершена,859
1752,Task 1752,В процессе,8340
1753,Task 1753,Не начата,1270
1754,Task 1754,Не начата,4376
1755,Task 1755,Завершена,6082
1756,Task 1756,Завершена,1774
1757,Task 1757,В процессе,5363
1758,Task 1758,В процессе,4305
1759,Task 1759,Завершена,2284
1760,Task 1760,Не начата,2546
1761,Task 1761,Завершена,6674
1762,Task 1762,В процессе,9598
1763,Task 1763,Завершена,7830
1764,Task 1764,Завершена,9308
1765,Task 1765,В процессе,5766
1766,Task 1766,Не начата,8342
1767,Task 1767,В процессе,6021
1768,Task 1768,Завершена,2205
1769,Task 1769,Завершена,8054
1770,Task 1770,Не начата,5336
1771,Task 1771,Не начата,2362
1772,Task 1772,В процессе,1137
1773,Task 1773,Не начата,6077
1774,Task 1774,В процессе,7891
1775,Task 1775,В процессе,9597
1776,Task 1776,Не начата,9184
1777,Task 1777,В процессе,8255
1778,Task 1778,Не начата,3620
1779,Task 1779,Завершена,4481
1780,Task 1780,Не начата,6007
1781,Task 1781,Завершена,4979
1782,Task 1782,Завершена,1380
1783,Task 1783,Не начата,5042
1784,Task 1784,В процессе,6649
1785,Task 1785,Завершена,5970
1786,Task 1786,В процессе,4964
1787,Task 1787,Завершена,5378
1788,Task 1788,Не начата,3738
1789,Task 1789,В процессе,1044
1790,Task 1790,Не начата,4770
1791,Task 1791,Завершена,1473
1792,Task 1792,Не начата,5162
1793,Task 1793,В процессе,5585
1794,Task 1794,Не начата,1820
1795,Task 1795,Завершена,2212
1796,Task 1796,В процессе,4068
1797,Task 1797,Завершена,7397
1798,Task 1798,Завершена,848
1799,Task 1799,Завершена,7481
1800,Task 1800,Не начата,4109
1801,Task 1801,Не начата,223
1802,Task 1802,В процессе,4228
1803,Task 1803,В процессе,3026
1804,Task 1804,Не начата,4638
1805,Task 1805,Не начата,6341
1806,Task 1806,Завершена,3462
1807,Task 1807,Не начата,2224
1808,Task 1808,Не начата,4436
1809,Task 1809,Не начата,4864
1810,Task 1810,В процессе,673
1811,Task 1811,Завершена,4537
1812,Task 1812,Завершена,8503
1813,Task 1813,В процессе,7526
1814,Task 1814,В процессе,4017
1815,Task 1815,Не начата,2356
1816,Task 1816,В процессе,9258
1817,Task 1817,Не начата,1988
1818,Task 1818,Не начата,4866
1819,Task 1819,Не начата,3388
1820,Task 1820,Не начата,2532
1821,Task 1821,Не начата,7098
1822,Task 1822,Завершена,430
1823,Task 1823,Завершена,2676
1824,Task 1824,В процессе,7974
1825,Task 1825,Завершена,995
1826,Task 1826,Завершена,744
1827,Task 1827,В процессе,9770
1828,Task 1828,Завершена,4781
1829,Task 1829,Завершена,163
1830,Task 1830,В процессе,5681
1831,Task 1831,Не начата,7331
1832,Task 1832,Не начата,8358
1833,Task 1833,В процессе,5982
1834,Task 1834,В процессе,5695
1835,Task 1835,В процессе,8381
1836,Task 1836,Не начата,5541
1837,Task 1837,В процессе,5527
1838,Task 1838,Не начата,2200
1839,Task 1839,Не начата,4336
1840,Task 1840,В процессе,5879
1841,Task 1841,Не начата,2438
1842,Task 1842,Не начата,7628
1843,Task 1843,Не начата,3867
1844,Task 1844,Завершена,5010
1845,Task 1845,В процессе,967
1846,Task 1846,Не начата,6419
1847,Task 1847,В процессе,1742
1848,Task 1848,В процессе,8351
1849,Task 1849,В процессе,9270
1850,Task 1850,Завершена,2332
1851,Task 1851,Завершена,9918
1852,Task 1852,Не начата,9738
1853,Task 1853,В процессе,8448
1854,Task 1854,В процессе,2486
1855,Task 1855,Не начата,7685
1856,Task 1856,В процессе,7441
1857,Task 1857,Не начата,6305
1858,Task 1858,В процессе,7919
1859,Task 1859,Завершена,7054
1860,Task 1860,Не начата,1277
1861,Task 1861,Не начата,4356
1862,Task 1862,Не начата,5082
1863,Task 1863,Завершена,2293
1864,Task 1864,Завершена,468
1865,Task 1865,Не начата,8174
1866,Task 1866,Завершена,7100
1867,Task 1867,В процессе,8547
1868,Task 1868,Завершена,2913
1869,Task 1869,Не начата,2998
1870,Task 1870,Не начата,1581
1871,Task 1871,Завершена,1332
1872,Task 1872,Не начата,1065
1873,Task 1873,Не начата,1418
1874,Task 1874,В процессе,404
1875,Task 1875,Завершена,1528
1876,Task 1876,Не начата,8882
1877,Task 1877,В процессе,1616
1878,Task 1878,Завершена,5449
1879,Task 1879,В процессе,9148
1880,Task 1880,Не начата,4218
1881,Task 1881,Не начата,1937
1882,Task 1882,Не начата,6439
1883,Task 1883,В процессе,8880
1884,Task 1884,Завершена,1786
1885,Task 1885,Завершена,7199
1886,Task 1886,В процессе,2548
1887,Task 1887,В процессе,1456
1888,Task 1888,Завершена,3879
1889,Task 1889,Не начата,2882
1890,Task 1890,В процессе,1320
1891,Task 1891,В процессе,5990
1892,Task 1892,Не начата,7749
1893,Task 1893,Не начата,6757
1894,Task 1894,В процессе,4688
1895,Task 1895,Завершена,313
1896,Task 1896,Не начата,9274
1897,Task 1897,Не начата,5762
1898,Task 1898,В процессе,910
1899,Task 1899,Не начата,1041
1900,Task 1900,Завершена,3611
1901,Task 1901,Завершена,3953
1902,Task 1902,В процессе,635
1903,Task 1903,В процессе,3151
1904,Task 1904,Не начата,7856
1905,Task 1905,Не начата,5713
1906,Task 1906,Не начата,4588
1907,Task 1907,Не начата,429
1908,Task 1908,Завершена,3409
1909,Task 1909,Не начата,2074
1910,Task 1910,Не начата,9974
1911,Task 1911,Не начата,8899
1912,Task 1912,Завершена,7974
1913,Task 1913,Завершена,7842
1914,Task 1914,Завершена,706
1915,Task 1915,Завершена,2140
1916,Task 1916,Не начата,1775
1917,Task 1917,Завершена,2450
1918,Task 1918,Завершена,3997
1919,Task 1919,В процессе,1463
1920,Task 1920,Завершена,7620
1921,Task 1921,Не начата,1790
1922,Task 1922,В процессе,6011
1923,Task 1923,Завершена,851
1924,Task 1924,В процессе,6261
1925,Task 1925,Завершена,1633
1926,Task 1926,Не начата,6461
1927,Task 1927,В процессе,6461
1928,Task 1928,Не начата,4022
1929,Task 1929,Не начата,4022
1930,Task 1930,В процессе,1661
1931,Task 1931,Завершена,3299
1932,Task 1932,В процессе,1211
1933,Task 1933,Завершена,5528
1934,Task 1934,В процессе,2458
1935,Task 1935,Не начата,9307
1936,Task 1936,Завершена,3719
1937,Task 1937,Завершена,8897
1938,Task 1938,В процессе,7169
1939,Task 1939,Завершена,3623
1940,Task 1940,Не начата,9583
1941,Task 1941,В процессе,2939
1942,Task 1942,Не начата,801
1943,Task 1943,Завершена,7805
1944,Task 1944,Не начата,2940
1945,Task 1945,В процессе,998
1946,Task 1946,Завершена,9268
1947,Task 1947,Не начата,5301
1948,Task 1948,Не начата,7800
1949,Task 1949,Не начата,5429
1950,Task 1950,В процессе,9211
1951,Task 1951,В процессе,5129
1952,Task 1952,В процессе,9319
1953,Task 1953,Не начата,9778
1954,Task 1954,В процессе,5312
1955,Task 1955,Завершена,855
1956,Task 1956,Завершена,3919
1957,Task 1957,Завершена,8290
1958,Task 1958,Не начата,7230
1959,Task 1959,Не начата,7825
1960,Task 1960,Завершена,4446
1961,Task 1961,Не начата,18
1962,Task 1962,Завершена,4096
1963,Task 1963,В процессе,1941
1964,Task 1964,Не начата,9894
1965,Task 1965,Завершена,9773
1966,Task 1966,Не начата,4273
1967,Task 1967,Завершена,9225
1968,Task 1968,Не начата,2957
1969,Task 1969,В процессе,5385
1970,Task 1970,Не начата,4745
1971,Task 1971,В процессе,1813
1972,Task 1972,В процессе,9441
1973,Task 1973,Не начата,1288
1974,Task 1974,Завершена,5274
1975,Task 1975,В процессе,2146
1976,Task 1976,В процессе,6928
1977,Task 1977,В процессе,9903
1978,Task 1978,В процессе,5413
1979,Task 1979,В процессе,1868
1980,Task 1980,Не начата,3955
1981,Task 1981,Завершена,7968
1982,Task 1982,Завершена,4867
1983,Task 1983,В процессе,1049
1984,Task 1984,Не начата,2365
1985,Task 1985,Не начата,6900
1986,Task 1986,Не начата,9732
1987,Task 1987,В процессе,6196
1988,Task 1988,Не начата,2086
1989,Task 1989,Завершена,2114
1990,Task 1990,Завершена,55
1991,Task 1991,Не начата,6683
1992,Task 1992,В процессе,3049
1993,Task 1993,В процессе,9243
1994,Task 1994,В процессе,2952
1995,Task 1995,В процессе,1885
1996,Task 1996,Не начата,2787
1997,Task 1997,В процессе,685
1998,Task 1998,В процессе,5445
1999,Task 1999,В процессе,9612
2000,Task 2000,В процессе,4155
2001,Task 2001,Завершена,9100
2002,Task 2002,В процессе,9126
2003,Task 2003,В процессе,7151
2004,Task 2004,Завершена,7707
2005,Task 2005,В процессе,759
2006,Task 2006,В процессе,883
2007,Task 2007,В процессе,5012
2008,Task 2008,Не начата,8177
2009,Task 2009,В процессе,1520
2010,Task 2010,В процессе,4602
2011,Task 2011,Не начата,1571
2012,Task 2012,Завершена,1182
2013,Task 2013,В процессе,8067
2014,Task 2014,В процессе,9535
2015,Task 2015,Не начата,6352
2016,Task 2016,Не начата,3581
2017,Task 2017,В процессе,8096
2018,Task 2018,Не начата,2813
2019,Task 2019,Завершена,272
2020,Task 2020,Не начата,1129
2021,Task 2021,В процессе,5233
2022,Task 2022,Не начата,8962
2023,Task 2023,Не начата,2913
2024,Task 2024,В процессе,1148
2025,Task 2025,Завершена,7153
2026,Task 2026,Завершена,4033
2027,Task 2027,Завершена,3700
2028,Task 2028,В процессе,4597
2029,Task 2029,В процессе,917
2030,Task 2030,Завершена,5451
2031,Task 2031,Не начата,5506
2032,Task 2032,В процессе,3007
2033,Task 2033,Завершена,6730
2034,Task 2034,В процессе,7919
2035,Task 2035,Не начата,2852
2036,Task 2036,Не начата,6066
2037,Task 2037,В процессе,82
2038,Task 2038,Не начата,1705
2039,Task 2039,Завершена,771
2040,Task 2040,Не начата,676
2041,Task 2041,Не начата,5746
2042,Task 2042,Завершена,3576
2043,Task 2043,В процессе,8790
2044,Task 2044,В процессе,7612
2045,Task 2045,В процессе,2551
2046,Task 2046,В процессе,6382
2047,Task 2047,Завершена,2578
2048,Task 2048,В процессе,548
2049,Task 2049,Завершена,5809
2050,Task 2050,В процессе,7977
2051,Task 2051,Не начата,564
2052,Task 2052,Завершена,5472
2053,Task 2053,В процессе,2119
2054,Task 2054,В процессе,3771
2055,Task 2055,В процессе,9367
2056,Task 2056,Завершена,8896
2057,Task 2057,В процессе,3351
2058,Task 2058,Не начата,3769
2059,Task 2059,Не начата,8859
2060,Task 2060,Не начата,9437
2061,Task 2061,Не начата,9580
2062,Task 2062,Не начата,4201
2063,Task 2063,Не начата,4858
2064,Task 2064,Завершена,7847
2065,Task 2065,Не начата,6909
2066,Task 2066,В процессе,4147
2067,Task 2067,В процессе,5036
2068,Task 2068,Завершена,6535
2069,Task 2069,Завершена,1323
2070,Task 2070,Не начата,6945
2071,Task 2071,В процессе,7160
2072,Task 2072,Не начата,4685
2073,Task 2073,Не начата,6214
2074,Task 2074,Не начата,4183
2075,Task 2075,Не начата,2326
2076,Task 2076,Не начата,6043
2077,Task 2077,В процессе,7761
2078,Task 2078,Не начата,5995
2079,Task 2079,Не начата,9746
2080,Task 2080,Не начата,9425
2081,Task 2081,Не начата,1418
2082,Task 2082,В процессе,7122
2083,Task 2083,В процессе,4790
2084,Task 2084,В процессе,3454
2085,Task 2085,Завершена,6043
2086,Task 2086,Не начата,3975
2087,Task 2087,Не начата,8821
2088,Task 2088,Завершена,9164
2089,Task 2089,Завершена,8284
2090,Task 2090,В процессе,1666
2091,Task 2091,Не начата,101
2092,Task 2092,Завершена,2161
2093,Task 2093,Завершена,3569
2094,Task 2094,Не начата,9390
2095,Task 2095,Не начата,7267
2096,Task 2096,Завершена,7032
2097,Task 2097,Не начата,4465
2098,Task 2098,В процессе,6351
2099,Task 2099,Завершена,430
2100,Task 2100,В процессе,9712
2101,Task 2101,Не начата,8853
2102,Task 2102,Завершена,1816
2103,Task 2103,Не начата,1354
2104,Task 2104,В процессе,5793
2105,Task 2105,В процессе,3482
2106,Task 2106,Завершена,6197
2107,Task 2107,Завершена,2943
2108,Task 2108,Не начата,8954
2109,Task 2109,Завершена,3876
2110,Task 2110,Завершена,9975
2111,Task 2111,В процессе,7598
2112,Task 2112,Не начата,1556
2113,Task 2113,Завершена,5046
2114,Task 2114,Не начата,4329
2115,Task 2115,В процессе,9193
2116,Task 2116,Не начата,9653
2117,Task 2117,Завершена,5458
2118,Task 2118,Завершена,1849
2119,Task 2119,В процессе,8967
2120,Task 2120,Завершена,1031
2121,Task 2121,Завершена,1731
2122,Task 2122,В процессе,3202
2123,Task 2123,В процессе,5933
2124,Task 2124,Завершена,6749
2125,Task 2125,Не начата,6033
2126,Task 2126,В процессе,2566
2127,Task 2127,Не начата,5239
2128,Task 2128,Завершена,7610
2129,Task 2129,Завершена,2013
2130,Task 2130,В процессе,5261
2131,Task 2131,В процессе,800
2132,Task 2132,Завершена,7095
2133,Task 2133,Не начата,9754
2134,Task 2134,Не начата,9374
2135,Task 2135,Не начата,3319
2136,Task 2136,Завершена,1449
2137,Task 2137,В процессе,5960
2138,Task 2138,В процессе,5362
2139,Task 2139,В процессе,4159
2140,Task 2140,В процессе,4242
2141,Task 2141,Не начата,8110
2142,Task 2142,Не начата,9887
2143,Task 2143,В процессе,8135
2144,Task 2144,Не начата,8996
2145,Task 2145,Завершена,2697
2146,Task 2146,Завершена,2230
2147,Task 2147,Не начата,4397
2148,Task 2148,Не начата,6403
2149,Task 2149,Завершена,8607
2150,Task 2150,Не начата,8459
2151,Task 2151,Завершена,5547
2152,Task 2152,В процессе,7562
2153,Task 2153,Завершена,3457
2154,Task 2154,В процессе,2359
2155,Task 2155,В процессе,7124
2156,Task 2156,Не начата,5405
2157,Task 2157,Завершена,8354
2158,Task 2158,В процессе,4114
2159,Task 2159,Не начата,7471
2160,Task 2160,Не начата,428
2161,Task 2161,Не начата,5859
2162,Task 2162,Не начата,2235
2163,Task 2163,Не начата,4810
2164,Task 2164,Не начата,4792
2165,Task 2165,Завершена,92
2166,Task 2166,Завершена,345
2167,Task 2167,Не начата,2934
2168,Task 2168,В процессе,6611
2169,Task 2169,В процессе,1840
2170,Task 2170,Завершена,1980
2171,Task 2171,Не начата,6729
2172,Task 2172,В процессе,8026
2173,Task 2173,Не начата,3075
2174,Task 2174,В процессе,3013
2175,Task 2175,Не начата,1128
2176,Task 2176,Не начата,9024
2177,Task 2177,Завершена,8561
2178,Task 2178,Завершена,1939
2179,Task 2179,Не начата,3086
2180,Task 2180,Не начата,6287
2181,Task 2181,В процессе,2597
2182,Task 2182,Не начата,3438
2183,Task 2183,Не начата,1540
2184,Task 2184,В процессе,7378
2185,Task 2185,Не начата,7988
2186,Task 2186,В процессе,4603
2187,Task 2187,Завершена,3832
2188,Task 2188,В процессе,4791
2189,Task 2189,Не начата,8835
2190,Task 2190,Завершена,9636
2191,Task 2191,Завершена,1752
2192,Task 2192,Не начата,9670
2193,Task 2193,Завершена,7989
2194,Task 2194,Не начата,9458
2195,Task 2195,В процессе,7452
2196,Task 2196,Не начата,6182
2197,Task 2197,Завершена,1510
2198,Task 2198,Не начата,1052
2199,Task 2199,Не начата,7531
2200,Task 2200,В процессе,2956
2201,Task 2201,Завершена,6905
2202,Task 2202,Не начата,9802
2203,Task 2203,Завершена,198
2204,Task 2204,В процессе,8247
2205,Task 2205,Не начата,2925
2206,Task 2206,Завершена,1660
2207,Task 2207,Завершена,5722
2208,Task 2208,Не начата,2549
2209,Task 2209,Завершена,2453
2210,Task 2210,В процессе,7275
2211,Task 2211,Не начата,9434
2212,Task 2212,Завершена,36
2213,Task 2213,Не начата,4421
2214,Task 2214,Завершена,8355
2215,Task 2215,Завершена,5525
2216,Task 2216,Завершена,3328
2217,Task 2217,Завершена,273
2218,Task 2218,Завершена,2299
2219,Task 2219,В процессе,2935
2220,Task 2220,Завершена,445
2221,Task 2221,В процессе,6854
2222,Task 2222,Завершена,98
2223,Task 2223,В процессе,5848
2224,Task 2224,Завершена,9185
2225,Task 2225,Завершена,8462
2226,Task 2226,В процессе,461
2227,Task 2227,Завершена,5174
2228,Task 2228,Не начата,7426
2229,Task 2229,В процессе,4823
2230,Task 2230,Завершена,6158
2231,Task 2231,Не начата,5227
2232,Task 2232,Не начата,2516
2233,Task 2233,Не начата,9376
2234,Task 2234,Завершена,3677
2235,Task 2235,Завершена,3515
2236,Task 2236,В процессе,3726
2237,Task 2237,Завершена,999
2238,Task 2238,Не начата,4329
2239,Task 2239,Завершена,1813
2240,Task 2240,Завершена,1136
2241,Task 2241,Не начата,6769
2242,Task 2242,Не начата,3013
2243,Task 2243,Не начата,4390
2244,Task 2244,Завершена,5758
2245,Task 2245,Завершена,1887
2246,Task 2246,Завершена,6802
2247,Task 2247,Не начата,8637
2248,Task 2248,В процессе,797
2249,Task 2249,В процессе,6073
2250,Task 2250,В процессе,6232
2251,Task 2251,Завершена,1815
2252,Task 2252,Не начата,5428
2253,Task 2253,Не начата,1179
2254,Task 2254,Не начата,871
2255,Task 2255,Завершена,114
